Quay_id;Quay_name;Latitude;Longitude;Google_maps_url;;;;;;Gamle (slettet);;;;
1;Strandkaiterminalen båtkai;60.39519329254041;5.3222861130192305;https://www.google.com/maps/place/Strandkaiterminalen+b%C3%A5tkai/@60.3951566,5.3206274,16.63z/data=!4m6!3m5!1s0x463cfc1d4fc521af:0x795e6b8ffb7f864e!8m2!3d60.39526!4d5.321964!16s%2Fg%2F11h84lshyd?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;14;Lundøy;60.02770494644482;5.142273629546363;https://www.google.com/maps/place/Lund%C3%B8y/@60.0260651,5.1407724,15.35z/data=!4m14!1m7!3m6!1s0x463c8e5e68161437:0xf81ca59c402eed5b!2zU2VsYmrDuHJu!8m2!3d60.006822!4d5.1691462!16s%2Fm%2F03yk30j!3m5!1s0x463c8ddd0b1d3623:0x9ff0c53fd0b07ac5!8m2!3d60.02745!4d5.142151!16s%2Fg%2F11j0hwqyjb?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D
2;Bergen Nøstet kystrutekai;60.39276743589869;5.3103817130087085;https://www.google.com/maps/place/Bergen+N%C3%B8stet+kystrutekai/@60.3925607,5.3072274,16z/data=!4m6!3m5!1s0x463cfc04fa2bcbc7:0xaeb5e518f267c974!8m2!3d60.392561!4d5.3104059!16s%2Fg%2F11tg9p_438?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;15;Litlakalsøy;60.04058134601121;5.089270416439679;https://www.google.com/maps/place/Litlakals%C3%B8y/@60.0404671,5.087528,18.22z/data=!4m14!1m7!3m6!1s0x463c9212dcfc14f1:0xd5c4311626899293!2sLitlekals%C3%B8y!8m2!3d60.0407276!4d5.0795528!16s%2Fm%2F080hf5s!3m5!1s0x463c92127b7d722f:0x758b1b3a10e0d5b!8m2!3d60.04054!4d5.089265!16s%2Fg%2F11h84lq4jh?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D
3;Kleppestø båtkai;60.40650271786399;5.22753076525259;https://www.google.com/maps/place/Kleppest%C3%B8+b%C3%A5tkai/@60.4059716,5.2256531,16.91z/data=!4m15!1m8!3m7!1s0x463cfcbfe8e268df:0x32570ae48bb050ad!2sKleppest%C3%B8!3b1!8m2!3d60.4107183!4d5.2258428!16zL20vMDJyenBx!3m5!1s0x463cfc947a599235:0x21db2d890718196d!8m2!3d60.406498!4d5.227529!16s%2Fg%2F11j0hwyq76?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
4;Frekhaug kai;60.51784069718566;5.2485949546430986;https://www.google.com/maps/place/Frekhaug+kai/@60.5169128,5.2468927,17.74z/data=!4m15!1m8!3m7!1s0x463d02c2b9a8b55f:0xcba435591f28f1c!2s5918+Frekhaug!3b1!8m2!3d60.5131864!4d5.2423632!16zL20vMGZkaG5j!3m5!1s0x463d02e6e5c4149b:0x844eee77cb4b9ccc!8m2!3d60.5178!4d5.2486111!16s%2Fg%2F11j0hwp35g?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
5;Knarvik båtkai;60.54215048132683;5.28730542895677;https://www.google.com/maps/place/Knarvik+b%C3%A5tkai/@60.5435641,5.2798599,15.45z/data=!4m15!1m8!3m7!1s0x463d039f513244d3:0x285b793273cdb162!2sKnarvik!3b1!8m2!3d60.5453915!4d5.2822469!16zL20vMDlwMjBq!3m5!1s0x463d03a0ce231ac3:0xdb72fb291379e1a7!8m2!3d60.541897!4d5.287327!16s%2Fg%2F11hd__6ls4?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
6;Lygra snøggbåtkai;60.692245444125575;5.10593928544048;https://www.google.com/maps/place/Lygra+sn%C3%B8ggb%C3%A5tkai/@60.6899783,5.0837084,13.47z/data=!4m14!1m7!3m6!1s0x463d10bc1805bed5:0x98c7e2f084d274ce!2sLygra!8m2!3d60.6872889!4d5.128844!16s%2Fg%2F119x6_jqd!3m5!1s0x463d11c7948e53c5:0x541262dd80995eef!8m2!3d60.6912897!4d5.1058018!16s%2Fg%2F11pkc8ytsw?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
7;Leirvåg ferjekai;60.81474617781168;5.0045958088553695;https://www.google.com/maps/place/Leirv%C3%A5g+ferjekai/@60.8147542,5.0023973,16.96z/data=!4m15!1m8!3m7!1s0x463d15163d0eaf6d:0x3901b6cbbe298cb4!2zU2zDuHbDpWctTGVpcnbDpWc!3b1!8m2!3d60.8352473!4d5.0465438!16s%2Fg%2F11b7hl4458!3m5!1s0x463d1577d98580a7:0x41c627e9cc9af64e!8m2!3d60.8146524!4d5.0046038!16s%2Fg%2F11fy_6bvpw?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
8;Hellesøy båtkai;60.662060397388316;4.790275041745952;https://www.google.com/maps/place/Helles%C3%B8y+b%C3%A5tkai/@60.6590788,4.7857607,16.19z/data=!4m9!1m2!2m1!1zaGVsbGVzw7h5!3m5!1s0x463d24bd203ba751:0xdc9e89e6671b4add!8m2!3d60.6619!4d4.79033!16s%2Fg%2F11j0hwp379?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
9;Geitanger båtkai;60.394003777104835;5.068320148650355;https://www.google.com/maps/place/Geitanger+b%C3%A5tkai/@60.3938183,5.0593938,16z/data=!4m10!1m2!2m1!1sgeitanger!3m6!1s0x463ce3f5ecfe2bc5:0x8a580781572e304c!8m2!3d60.393818!4d5.0683441!15sCglnZWl0YW5nZXKSAQ5mZXJyeV90ZXJtaW5hbOABAA!16s%2Fg%2F11h84lxnj6?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
10;Klokkarvik ferjekai;60.22346924177673;5.1577746733749406;https://www.google.com/maps/place/Klokkarvik+ferjekai/@60.2212387,5.1533083,16.37z/data=!4m15!1m8!3m7!1s0x463cf1e6f54ba1f1:0xd5ea9cd822dd6de4!2s5378+Klokkarvik!3b1!8m2!3d60.2229544!4d5.1570816!16zL20vMDl4MmRs!3m5!1s0x463cf1e6fae840a3:0xc8089bdc522e9ac5!8m2!3d60.223312!4d5.157786!16s%2Fg%2F11hd__7qwb?entry=ttu&g_ep=EgoyMDI0MTExOC4wIKXMDSoASAFQAw%3D%3D;;;;;;;;;;
