;Course;Distance;Coordinate
1;332.72°;0.02nm;N 60°23.5659' - E  5°18.6655'
2;306.68°;0.32nm;N 60°23.7566' - E  5°18.1471'
3;339.51°;0.54nm;N 60°24.2632' - E  5°17.7637'
4;341.20°;0.42nm;N 60°24.6589' - E  5°17.4908'
5;341.03°;0.24nm;N 60°24.8863' - E  5°17.3325'
6;347.50°;0.28nm;N 60°25.1614' - E  5°17.2090'
7;335.71°;2.63nm;N 60°26.4722' - E  5°16.2688'
8;345.37°;2.40nm;N 60°28.7929' - E  5°15.0393'
9;9.30°;1.71nm;N 60°30.4833' - E  5°15.6014'
10;22.18°;2.17nm;N 60°32.4911' - E  5°17.2658'
