Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2023,Aarland,12446713,Austevoll,NSR:Quay:50081,"5,08155","59,98955",0,0,"1,2",13,0
2024,Aarland,12446713,Austevoll,NSR:Quay:50081,"5,08155","59,98955",0,0,"1,4",9,0
2023,Aarland,12446714,Austevoll,NSR:Quay:50082,"5,08135","59,98955",0,0,"2,5",0,29
2024,Aarland,12446714,Austevoll,NSR:Quay:50082,"5,08135","59,98955",0,1,"2,3",0,42
2023,Aarland nord,12446717,Austevoll,NSR:Quay:50090,"5,08456","59,99243",0,0,"1,2",3,0
2024,Aarland nord,12446717,Austevoll,NSR:Quay:50090,"5,08456","59,99243",0,0,"1,4",2,0
2023,Aarland nord,12446720,Austevoll,NSR:Quay:50093,"5,08442","59,99253",0,0,"2,8",0,0
2024,Aarland nord,12446720,Austevoll,NSR:Quay:50093,"5,08442","59,99253",0,0,"2,9",0,1
2023,Aarland sør,12446715,Austevoll,NSR:Quay:50087,"5,08083","59,98804",0,0,"1,1",6,0
2024,Aarland sør,12446715,Austevoll,NSR:Quay:50087,"5,08083","59,98804",0,0,"1,3",1,0
2023,Aarland sør,12446716,Austevoll,NSR:Quay:50088,"5,08057","59,98781",0,0,"2,4",1,5
2024,Aarland sør,12446716,Austevoll,NSR:Quay:50088,"5,08057","59,98781",0,0,"2,2",0,7
2023,Abbedissen kryss,12473701,Askøy,NSR:Quay:56707,"5,01333","60,53444",1,0,"17,5",85,3
2024,Abbedissen kryss,12473701,Askøy,NSR:Quay:56707,"5,01333","60,53444",1,0,"18,4",58,4
2023,Abbedissen kryss,12473706,Askøy,NSR:Quay:56706,"5,01239","60,53491",0,1,"17,0",7,91
2024,Abbedissen kryss,12473706,Askøy,NSR:Quay:56706,"5,01239","60,53491",0,1,"17,3",0,53
2023,Algrøy bedehus,12462815,Øygarden,NSR:Quay:51953,"4,95414","60,3583",0,0,"4,1",4,4
2024,Algrøy bedehus,12462815,Øygarden,NSR:Quay:51953,"4,95414","60,3583",0,0,"3,6",10,0
2023,Algrøy bedehus,12462816,Øygarden,NSR:Quay:51952,"4,95445","60,35817",0,0,"3,5",2,15
2024,Algrøy bedehus,12462816,Øygarden,NSR:Quay:51952,"4,95445","60,35817",0,0,"2,9",6,4
2023,Algrøyna byggefelt,12462809,Øygarden,NSR:Quay:51928,"4,96576","60,35503",0,0,"4,3",10,0
2024,Algrøyna byggefelt,12462809,Øygarden,NSR:Quay:51928,"4,96576","60,35503",0,0,"3,7",3,1
2023,Algrøyna byggefelt,12462810,Øygarden,NSR:Quay:51929,"4,96635","60,35484",0,0,"3,6",13,13
2024,Algrøyna byggefelt,12462810,Øygarden,NSR:Quay:51929,"4,96635","60,35484",0,0,"2,9",14,7
2023,Algrøyna kryss,12462457,Øygarden,NSR:Quay:51672,"4,99353","60,34809",6,2,"31,0",602,199
2024,Algrøyna kryss,12462457,Øygarden,NSR:Quay:51672,"4,99353","60,34809",4,1,"29,5",323,117
2023,Algrøyna kryss,12462464,Øygarden,NSR:Quay:51671,"4,9938","60,34806",2,5,"23,4",186,502
2024,Algrøyna kryss,12462464,Øygarden,NSR:Quay:51671,"4,9938","60,34806",1,4,"23,4",91,322
2023,Algrøyna snuplass,12462818,Øygarden,NSR:Quay:51960,"4,9525","60,35956",1,1,"4,1",56,26
2024,Algrøyna snuplass,12462818,Øygarden,NSR:Quay:51960,"4,9525","60,35956",2,1,"3,4",65,47
2023,Allestadhaugen,12015178,Bergen,NSR:Quay:55870,"5,26345","60,34324",0,53,"167,5",12,5606
2024,Allestadhaugen,12015178,Bergen,NSR:Quay:55870,"5,26345","60,34324",0,57,"161,4",13,4547
2023,Allestadhaugen,12015179,Bergen,NSR:Quay:55869,"5,26377","60,34313",71,0,"214,2",7500,32
2024,Allestadhaugen,12015179,Bergen,NSR:Quay:55869,"5,26377","60,34313",74,0,"214,8",5885,35
2023,Allestadveien,12015176,Bergen,NSR:Quay:55861,"5,26858","60,34256",2,110,"219,9",162,11545
2024,Allestadveien,12015176,Bergen,NSR:Quay:55861,"5,26858","60,34256",2,110,"216,7",141,8810
2023,Allestadveien,12015177,Bergen,NSR:Quay:55863,"5,26916","60,34241",123,2,"334,2",12942,225
2024,Allestadveien,12015177,Bergen,NSR:Quay:55863,"5,26916","60,34241",133,3,"343,6",10635,220
2023,Almåsvegen,12011325,Bergen,NSR:Quay:53683,"5,36359","60,49966",12,2,"893,1",1244,163
2024,Almåsvegen,12011325,Bergen,NSR:Quay:53683,"5,36359","60,49966",11,2,"894,8",899,138
2023,Almåsvegen,12011326,Bergen,NSR:Quay:53682,"5,36199","60,50082",2,12,"879,8",215,1261
2024,Almåsvegen,12011326,Bergen,NSR:Quay:53682,"5,36199","60,50082",2,12,"891,7",129,980
2023,Alver,12633017,Alver,NSR:Quay:56369,"5,23568","60,57044",9,2,"97,4",976,175
2024,Alver,12633017,Alver,NSR:Quay:56369,"5,23568","60,57044",10,1,"108,1",782,120
2023,Alver,12633042,Alver,NSR:Quay:56368,"5,23409","60,57126",1,7,"69,4",150,771
2024,Alver,12633042,Alver,NSR:Quay:56368,"5,23409","60,57126",1,6,"74,9",105,491
2023,"Alver, Feste",12633036,Alver,NSR:Quay:56413,"5,23565","60,57167",0,3,"5,2",18,298
2024,"Alver, Feste",12633036,Alver,NSR:Quay:56413,"5,23565","60,57167",0,3,"5,3",12,208
2023,Alverflaten,12633021,Alver,NSR:Quay:56376,"5,2514","60,56167",24,3,"133,1",2498,328
2024,Alverflaten,12633021,Alver,NSR:Quay:56376,"5,2514","60,56167",28,4,"148,5",2260,289
2023,Alverflaten,12633032,Alver,NSR:Quay:56377,"5,24978","60,56255",3,24,"107,0",303,2522
2024,Alverflaten,12633032,Alver,NSR:Quay:56377,"5,24978","60,56255",4,28,"108,3",285,2212
2023,Alverflaten nord,12633019,Alver,NSR:Quay:56375,"5,24291","60,56578",9,1,"113,0",964,125
2024,Alverflaten nord,12633019,Alver,NSR:Quay:56375,"5,24291","60,56578",10,1,"124,3",813,97
2023,Alverflaten nord,12633034,Alver,NSR:Quay:56373,"5,24426","60,5653",1,11,"97,4",103,1185
2024,Alverflaten nord,12633034,Alver,NSR:Quay:56373,"5,24426","60,5653",1,11,"99,9",110,840
2023,Alverflaten sør,12633023,Alver,NSR:Quay:56380,"5,25718","60,55957",14,1,"146,0",1508,103
2024,Alverflaten sør,12633023,Alver,NSR:Quay:56380,"5,25718","60,55957",14,1,"161,2",1127,95
2023,Alverflaten sør,12633030,Alver,NSR:Quay:56381,"5,25587","60,56018",1,16,"126,3",143,1662
2024,Alverflaten sør,12633030,Alver,NSR:Quay:56381,"5,25587","60,56018",1,14,"130,6",115,1154
2023,Alverstraumen,12634005,Alver,NSR:Quay:56441,"5,21419","60,58104",3,0,"63,6",280,9
2024,Alverstraumen,12634005,Alver,NSR:Quay:56441,"5,21419","60,58104",3,0,"75,5",223,13
2023,Alverstraumen,12634006,Alver,NSR:Quay:56440,"5,21534","60,58059",0,3,"50,7",25,301
2024,Alverstraumen,12634006,Alver,NSR:Quay:56440,"5,21534","60,58059",0,3,"58,9",16,217
2023,Alversund skule,12633066,Alver,NSR:Quay:105732,"5,23545","60,569",9,17,"7,9",958,1792
2024,Alversund skule,12633066,Alver,NSR:Quay:105732,"5,23545","60,569",8,15,"7,5",668,1194
2023,Alvheim,12593264,Øygarden,NSR:Quay:55681,"4,8221","60,59252",0,0,"14,4",2,31
2024,Alvheim,12593264,Øygarden,NSR:Quay:55681,"4,8221","60,59252",0,0,"15,4",0,35
2023,Alvheim kryss,12593213,Øygarden,NSR:Quay:55613,"4,83537","60,59463",3,0,"21,8",341,49
2024,Alvheim kryss,12593213,Øygarden,NSR:Quay:55613,"4,83537","60,59463",4,1,"25,3",345,51
2023,Alvheim veg sør,12593260,Øygarden,NSR:Quay:55673,"4,83372","60,59485",0,3,"14,8",34,290
2024,Alvheim veg sør,12593260,Øygarden,NSR:Quay:55673,"4,83372","60,59485",0,3,"16,1",29,247
2023,Alvheim veg sør,12593261,Øygarden,NSR:Quay:55674,"4,83261","60,59478",0,0,"19,1",0,0
2024,Alvheim veg sør,12593261,Øygarden,NSR:Quay:55674,"4,83261","60,59478",0,0,"21,6",0,0
2023,Alvheimstre,12593265,Øygarden,NSR:Quay:55684,"4,81479","60,60196",1,0,"18,6",82,2
2024,Alvheimstre,12593265,Øygarden,NSR:Quay:55684,"4,81479","60,60196",1,0,"20,8",56,3
2023,Alvheimstre,12593266,Øygarden,NSR:Quay:55685,"4,81485","60,60203",0,1,"13,9",0,57
2024,Alvheimstre,12593266,Øygarden,NSR:Quay:55685,"4,81485","60,60203",0,1,"14,8",5,58
2023,Alvøen,12012345,Bergen,NSR:Quay:55203,"5,18804","60,35389",2,0,"12,6",67,0
2024,Alvøen,12012345,Bergen,NSR:Quay:55203,"5,18804","60,35389",4,0,"17,5",327,2
2023,Alvøen,12012348,Bergen,NSR:Quay:55205,"5,18783","60,35412",0,2,"9,3",1,71
2024,Alvøen,12012348,Bergen,NSR:Quay:55205,"5,18783","60,35412",0,4,"11,6",2,301
2023,Alvøen bru,12012346,Bergen,NSR:Quay:55209,"5,1911","60,35677",0,4,"11,3",2,151
2024,Alvøen bru,12012346,Bergen,NSR:Quay:55209,"5,1911","60,35677",0,8,"15,3",2,631
2023,Alvøen bru,12012347,Bergen,NSR:Quay:55210,"5,1912","60,35655",4,0,"17,2",159,0
2024,Alvøen bru,12012347,Bergen,NSR:Quay:55210,"5,1912","60,35655",6,0,"23,8",517,7
2023,Alvøen gard,12012349,Bergen,NSR:Quay:55213,"5,19315","60,35431",0,1,"15,6",0,42
2024,Alvøen gard,12012349,Bergen,NSR:Quay:55213,"5,19315","60,35431",0,1,"23,1",0,96
2023,Alvøen gard,12012352,Bergen,NSR:Quay:55214,"5,19312","60,35363",1,0,"17,2",19,0
2024,Alvøen gard,12012352,Bergen,NSR:Quay:55214,"5,19312","60,35363",2,0,"25,5",165,3
2023,Alvøen kai,12012350,Bergen,NSR:Quay:55217,"5,18587","60,35202",12,11,"10,6",425,384
2024,Alvøen kai,12012350,Bergen,NSR:Quay:55217,"5,18587","60,35202",17,15,"13,4",1347,1203
2023,Amalie Skrams vei,12011122,Bergen,NSR:Quay:53281,"5,32528","60,40852",2,40,"70,9",175,4156
2024,Amalie Skrams vei,12011122,Bergen,NSR:Quay:53281,"5,32528","60,40852",1,39,"73,5",95,3145
2023,Andås,12637403,Alver,NSR:Quay:57611,"5,47254","60,67091",0,0,"5,4",2,0
2024,Andås,12637403,Alver,NSR:Quay:57611,"5,47254","60,67091",0,0,"5,8",6,3
2023,Andås,12637406,Alver,NSR:Quay:57610,"5,47229","60,67114",0,0,"4,7",1,3
2024,Andås,12637406,Alver,NSR:Quay:57610,"5,47229","60,67114",0,0,"4,3",0,2
2023,Andås kryss,12637404,Alver,NSR:Quay:57613,"5,48586","60,66511",0,0,"10,4",2,6
2024,Andås kryss,12637404,Alver,NSR:Quay:57613,"5,48586","60,66511",0,0,"11,7",3,0
2023,Angeltveit,12462942,Øygarden,NSR:Quay:52213,"4,98183","60,41227",0,1,"4,0",1,128
2024,Angeltveit,12462942,Øygarden,NSR:Quay:52213,"4,98183","60,41227",0,1,"5,7",2,117
2023,Angeltveit,12462943,Øygarden,NSR:Quay:52214,"4,98315","60,41142",2,0,"8,3",201,5
2024,Angeltveit,12462943,Øygarden,NSR:Quay:52214,"4,98315","60,41142",3,0,"10,1",214,7
2023,Anglavika,12462380,Øygarden,NSR:Quay:51480,"5,115","60,38859",0,5,"18,3",10,541
2024,Anglavika,12462380,Øygarden,NSR:Quay:51480,"5,115","60,38859",0,4,"19,9",2,315
2023,Anglavika,12462381,Øygarden,NSR:Quay:51479,"5,11453","60,38868",5,0,"23,8",553,6
2024,Anglavika,12462381,Øygarden,NSR:Quay:51479,"5,11453","60,38868",4,0,"26,6",306,7
2023,Anglavika snuplass,12462382,Øygarden,NSR:Quay:51484,"5,11352","60,39281",22,21,"18,9",2307,2180
2024,Anglavika snuplass,12462382,Øygarden,NSR:Quay:51484,"5,11352","60,39281",25,23,"22,8",2012,1816
