Year,Holdeplassnavn,Holdeplassid,KommuneNavn,NsrQuayID,Longitude,Latitude,Snitt påstigende pr dag,Snitt avstigende pr dag,Snitt ombord pr dag,Totalt påstigende,Totalt avstigende
2023,Aarland,12446713,Austevoll,NSR:Quay:50081,"5,08155","59,98955",1,0,"8,4",325,1
2023,Aarland,12446714,Austevoll,NSR:Quay:50082,"5,08135","59,98955",0,1,"7,9",6,255
2023,Aarland nord,12446717,Austevoll,NSR:Quay:50090,"5,08456","59,99243",0,0,"8,5",37,2
2023,Aarland nord,12446720,Austevoll,NSR:Quay:50093,"5,08442","59,99253",0,0,"8,8",1,3
2023,Aarland sør,12446715,Austevoll,NSR:Quay:50087,"5,08083","59,98804",1,0,"7,1",178,34
2023,Aarland sør,12446716,Austevoll,NSR:Quay:50088,"5,08057","59,98781",1,2,"7,0",178,427
2023,Abbedissen kryss,12473701,Askøy,NSR:Quay:56707,"5,01333","60,53444",5,0,"73,8",1421,44
2023,Abbedissen kryss,12473706,Askøy,NSR:Quay:56706,"5,01239","60,53491",0,6,"74,0",18,1665
2023,Adolph Bergs vei,12015713,Bergen,NSR:Quay:51021,"5,36489","60,36084",1,2,"8,0",213,242
2023,Adolph Bergs vei,12015714,Bergen,NSR:Quay:51020,"5,36488","60,36093",0,0,"7,1",18,8
2023,"Aker, CCB",12462998,Øygarden,NSR:Quay:52405,"5,00617","60,40927",0,2,"0,8",108,395
2023,Algaard,12017218,Bergen,NSR:Quay:51645,"5,46725","60,41759",0,0,"27,6",21,9
2023,Algaard,12017219,Bergen,NSR:Quay:51646,"5,46698","60,41774",0,0,"20,8",12,17
2023,Algrøy bedehus,12462815,Øygarden,NSR:Quay:51953,"4,95414","60,3583",0,0,"50,2",106,38
2023,Algrøy bedehus,12462816,Øygarden,NSR:Quay:51952,"4,95445","60,35817",5,5,"49,0",1143,1246
2023,Algrøyna byggefelt,12462809,Øygarden,NSR:Quay:51928,"4,96576","60,35503",1,0,"51,3",205,17
2023,Algrøyna byggefelt,12462810,Øygarden,NSR:Quay:51929,"4,96635","60,35484",0,1,"49,6",85,250
2023,Algrøyna kryss,12462457,Øygarden,NSR:Quay:51672,"4,99353","60,34809",17,7,"132,9",4429,1920
2023,Algrøyna kryss,12462464,Øygarden,NSR:Quay:51671,"4,9938","60,34806",6,12,"135,8",1564,3046
2023,Algrøyna snuplass,12462818,Øygarden,NSR:Quay:51960,"4,9525","60,35956",5,4,"49,9",1228,1005
2023,Allestadhaugen,12015178,Bergen,NSR:Quay:55870,"5,26345","60,34324",1,100,"252,1",181,25962
2023,Allestadhaugen,12015179,Bergen,NSR:Quay:55869,"5,26377","60,34313",139,3,"352,0",36081,781
2023,Allestadveien,12015176,Bergen,NSR:Quay:55861,"5,26858","60,34256",4,163,"350,5",1018,42251
2023,Allestadveien,12015177,Bergen,NSR:Quay:55863,"5,26916","60,34241",204,7,"547,0",52988,1812
2023,Almeland,12011674,Bergen,NSR:Quay:54496,"5,42739","60,28505",0,3,"17,3",5,655
2023,Almeland,12011691,Bergen,NSR:Quay:54497,"5,42678","60,28488",3,0,"18,0",719,1
2023,Almåsvegen,12011325,Bergen,NSR:Quay:53683,"5,36359","60,49966",30,4,"1500,1",7790,980
2023,Almåsvegen,12011326,Bergen,NSR:Quay:53682,"5,36199","60,50082",5,30,"1460,0",1266,7733
2023,Alvamyrvegen,12477259,Austevoll,NSR:Quay:107231,"5,20557","60,00063",6,0,"12,5",1179,0
2023,Alvamyrvegen,12477260,Austevoll,NSR:Quay:107232,"5,20532","60,00046",0,3,"2,9",0,541
2023,Alver,12633017,Alver,NSR:Quay:56369,"5,23568","60,57044",26,25,"338,9",6707,6359
2023,Alver,12633042,Alver,NSR:Quay:56368,"5,23409","60,57126",4,23,"272,2",1111,5946
2023,"Alver, Feste",12633036,Alver,NSR:Quay:56413,"5,23565","60,57167",3,4,"31,6",654,1111
2023,Alverflaten,12633021,Alver,NSR:Quay:56376,"5,2514","60,56167",70,8,"446,9",18203,2163
2023,Alverflaten,12633032,Alver,NSR:Quay:56377,"5,24978","60,56255",8,74,"360,8",2079,19065
2023,Alverflaten nord,12633019,Alver,NSR:Quay:56375,"5,24291","60,56578",43,9,"388,4",11021,2414
2023,Alverflaten nord,12633034,Alver,NSR:Quay:56373,"5,24426","60,5653",14,46,"334,1",3732,11814
2023,Alverflaten sør,12633023,Alver,NSR:Quay:56380,"5,25718","60,55957",44,6,"482,4",11311,1555
2023,Alverflaten sør,12633030,Alver,NSR:Quay:56381,"5,25587","60,56018",7,48,"420,0",1767,12421
2023,Alverstraumen,12634005,Alver,NSR:Quay:56441,"5,21419","60,58104",11,1,"203,5",2857,156
