StartCluster,EndCluster,Passengers
0,21.0,10077
0,55.0,9170
0,48.0,9170
0,7.0,8405
0,101.0,7877
0,34.0,8920
0,127.0,8920
0,83.0,9868
0,97.0,8405
0,81.0,9868
0,77.0,9868
0,17.0,10905
0,46.0,10890
0,53.0,9193
0,12.0,9170
0,42.0,9413
0,1.0,10600
0,31.0,8544
0,36.0,10905
0,32.0,10890
0,6.0,10405
0,18.0,9193
0,41.0,9413
0,22.0,7346
0,26.0,9702
0,51.0,10600
0,29.0,10790
0,61.0,9702
0,5.0,10942
0,8.0,10404
0,58.0,10404
0,3.0,10270
0,37.0,10942
0,20.0,10938
0,38.0,10833
0,47.0,10631
0,25.0,10890
0,10.0,8405
0,56.0,9193
0,16.0,8405
0,49.0,9646
0,14.0,10790
0,33.0,10446
0,59.0,8544
0,39.0,10730
0,27.0,10270
0,2.0,10600
0,9.0,10942
0,4.0,9170
0,13.0,10631
0,15.0,10631
0,40.0,9193
0,44.0,10905
0,23.0,8405
0,43.0,8544
0,50.0,10631
0,28.0,9170
0,30.0,9413
0,35.0,10405
0,19.0,10099
0,24.0,10600
0,11.0,9702
0,45.0,10938
0,60.0,10790
0,67.0,9702
0,69.0,10905
0,52.0,9413
0,68.0,10833
0,65.0,10938
0,54.0,8920
0,57.0,9413
0,71.0,10938
0,73.0,10405
0,72.0,10099
0,80.0,9193
0,84.0,7709
0,64.0,9646
0,78.0,10405
0,63.0,10833
0,62.0,10833
0,66.0,9868
0,82.0,10790
0,88.0,10099
0,70.0,8920
0,86.0,9702
0,79.0,10405
0,93.0,10790
0,95.0,8544
0,75.0,10938
0,90.0,10631
0,92.0,10938
0,91.0,10730
0,74.0,10270
0,94.0,10938
0,87.0,10631
0,76.0,10270
0,99.0,10099
0,96.0,9702
0,102.0,10600
0,85.0,8665
0,104.0,10099
0,106.0,7709
0,100.0,10942
0,107.0,10099
0,89.0,10600
0,108.0,10631
0,115.0,10890
0,98.0,8142
0,105.0,9413
0,109.0,9170
0,112.0,10890
0,120.0,10405
0,103.0,8665
0,121.0,8544
0,113.0,8920
0,118.0,8142
0,114.0,8142
0,110.0,10730
0,116.0,10600
0,122.0,8920
0,111.0,10833
0,125.0,10833
0,123.0,10942
0,126.0,10790
0,119.0,10938
0,128.0,10631
0,117.0,9868
0,124.0,8920
0,129.0,10890
1,21.0,54
1,55.0,46
1,48.0,46
1,7.0,42
1,101.0,38
1,34.0,44
1,127.0,44
1,83.0,52
1,97.0,40
1,81.0,52
1,77.0,52
1,0.0,85
1,3.0,87
1,8.0,86
1,12.0,85
1,4.0,85
1,6.0,81
1,17.0,81
1,5.0,62
1,11.0,76
1,10.0,81
1,14.0,85
1,18.0,82
1,2.0,56
1,26.0,84
1,20.0,66
1,13.0,74
1,27.0,87
1,15.0,70
1,29.0,87
1,9.0,62
1,28.0,85
1,33.0,87
1,19.0,76
1,35.0,87
1,39.0,85
1,23.0,81
1,16.0,36
1,42.0,81
1,31.0,82
1,44.0,67
1,41.0,86
1,43.0,85
1,30.0,44
1,22.0,72
1,36.0,85
1,51.0,86
1,40.0,79
1,24.0,56
1,25.0,68
1,54.0,84
1,49.0,87
1,53.0,84
1,59.0,87
1,38.0,60
1,32.0,68
1,57.0,86
1,47.0,78
1,37.0,62
1,46.0,66
1,66.0,87
1,52.0,86
1,56.0,81
1,69.0,73
1,58.0,74
1,45.0,72
1,60.0,76
1,70.0,84
1,61.0,76
1,50.0,72
1,76.0,61
1,73.0,84
1,62.0,60
1,71.0,87
1,64.0,46
1,67.0,79
1,72.0,82
1,65.0,66
1,82.0,85
1,84.0,86
1,89.0,86
1,86.0,88
1,79.0,74
1,92.0,81
1,93.0,83
1,63.0,60
1,80.0,84
1,74.0,52
1,95.0,86
1,85.0,82
1,88.0,76
1,98.0,79
1,90.0,76
1,87.0,79
1,68.0,58
1,104.0,88
1,91.0,82
1,99.0,81
1,96.0,79
1,105.0,86
1,78.0,74
1,103.0,82
1,75.0,64
1,100.0,64
1,106.0,82
1,116.0,61
1,114.0,79
1,107.0,82
1,108.0,70
1,117.0,87
1,113.0,82
1,119.0,86
1,102.0,54
1,94.0,64
1,125.0,67
1,120.0,79
1,112.0,72
1,109.0,40
1,124.0,84
1,122.0,84
1,121.0,81
1,115.0,68
1,111.0,60
1,118.0,79
1,126.0,68
1,129.0,74
1,123.0,68
1,128.0,70
1,110.0,56
2,21.0,596
2,55.0,484
2,48.0,505
2,7.0,442
2,101.0,403
2,34.0,484
2,127.0,484
2,83.0,573
2,97.0,442
2,81.0,573
2,77.0,550
2,0.0,964
2,1.0,643
2,11.0,950
2,5.0,985
2,15.0,995
2,8.0,856
2,13.0,877
2,18.0,950
2,19.0,995
2,20.0,992
2,3.0,596
2,25.0,918
2,14.0,811
2,6.0,856
2,17.0,691
2,26.0,897
2,4.0,484
2,10.0,422
2,31.0,976
2,12.0,463
2,9.0,811
2,24.0,916
2,30.0,787
2,38.0,918
2,37.0,964
2,22.0,331
2,28.0,484
2,40.0,976
2,27.0,573
2,35.0,834
2,23.0,403
2,33.0,619
2,39.0,667
2,36.0,715
2,50.0,995
2,41.0,505
2,43.0,934
2,29.0,811
2,32.0,877
2,44.0,715
2,47.0,856
2,56.0,976
2,16.0,691
2,42.0,505
2,61.0,995
2,45.0,763
2,63.0,776
2,46.0,856
2,59.0,934
2,57.0,505
2,53.0,897
2,68.0,918
2,52.0,505
2,49.0,527
2,67.0,964
2,62.0,788
2,60.0,811
2,58.0,934
2,75.0,992
2,51.0,643
2,78.0,934
2,65.0,856
2,73.0,834
2,79.0,990
2,66.0,527
2,54.0,463
2,69.0,715
2,74.0,877
2,64.0,811
2,80.0,950
2,70.0,463
2,71.0,763
2,87.0,877
2,72.0,877
2,94.0,918
2,86.0,897
2,96.0,964
2,84.0,950
2,76.0,596
2,100.0,836
2,102.0,836
2,88.0,916
2,99.0,916
2,95.0,934
2,89.0,643
2,85.0,442
2,90.0,856
2,92.0,763
2,91.0,667
2,93.0,811
2,82.0,811
2,108.0,916
2,104.0,877
2,106.0,976
2,107.0,897
2,111.0,950
2,103.0,442
2,115.0,992
2,98.0,403
2,121.0,992
2,112.0,811
2,105.0,484
2,114.0,403
2,110.0,763
2,109.0,739
2,128.0,990
2,116.0,643
2,117.0,527
2,120.0,856
2,123.0,715
2,122.0,463
2,119.0,739
2,113.0,442
2,118.0,403
2,126.0,897
2,125.0,691
2,124.0,463
2,129.0,811
3,21.0,52
3,55.0,44
3,48.0,46
3,7.0,40
3,101.0,37
3,34.0,44
3,127.0,42
3,83.0,50
3,97.0,39
3,81.0,50
3,77.0,50
3,0.0,87
3,1.0,92
3,2.0,55
3,4.0,92
3,8.0,92
3,10.0,92
3,12.0,92
3,14.0,87
3,17.0,82
3,6.0,81
3,5.0,63
3,13.0,75
3,11.0,77
3,18.0,83
3,27.0,90
3,28.0,91
3,29.0,92
3,23.0,91
3,15.0,72
3,16.0,35
3,26.0,85
3,22.0,83
3,19.0,77
3,33.0,85
3,39.0,71
3,9.0,61
3,41.0,71
3,20.0,66
3,35.0,92
3,44.0,90
3,42.0,89
3,31.0,83
3,43.0,87
3,49.0,88
3,36.0,87
3,51.0,82
3,30.0,42
3,32.0,68
3,54.0,92
3,52.0,92
3,57.0,92
3,45.0,72
3,37.0,63
3,50.0,72
3,46.0,68
3,53.0,85
3,47.0,79
3,38.0,59
3,40.0,79
3,66.0,85
3,59.0,91
3,56.0,81
3,69.0,88
3,25.0,68
3,58.0,75
3,67.0,79
3,70.0,92
3,73.0,85
3,24.0,55
3,71.0,89
3,61.0,77
3,60.0,77
3,72.0,83
3,82.0,92
3,62.0,59
3,85.0,92
3,76.0,92
3,64.0,44
3,86.0,91
3,89.0,64
3,84.0,88
3,68.0,59
3,92.0,90
3,93.0,91
3,80.0,85
3,65.0,66
3,91.0,83
3,98.0,92
3,95.0,88
3,74.0,50
3,87.0,79
3,79.0,75
3,104.0,92
3,103.0,91
3,78.0,75
3,105.0,92
3,99.0,81
3,63.0,59
3,75.0,63
3,88.0,79
3,90.0,77
3,107.0,83
3,96.0,79
3,113.0,91
3,116.0,92
3,117.0,91
3,108.0,72
3,106.0,83
3,102.0,55
3,114.0,89
3,118.0,89
3,115.0,68
3,119.0,88
3,125.0,91
3,124.0,92
3,94.0,66
3,122.0,92
3,112.0,74
3,100.0,63
3,109.0,40
3,121.0,83
3,111.0,59
3,126.0,70
3,120.0,79
3,123.0,68
3,110.0,57
3,128.0,70
3,129.0,75
4,21.0,28
4,55.0,23
4,48.0,24
4,7.0,21
4,101.0,19
4,34.0,23
4,127.0,22
4,83.0,27
4,97.0,20
4,81.0,27
4,77.0,27
4,0.0,52
4,1.0,60
4,2.0,29
4,3.0,62
4,8.0,60
4,10.0,60
4,12.0,55
4,6.0,48
4,14.0,52
4,18.0,49
4,5.0,35
4,17.0,62
4,23.0,52
4,15.0,41
4,11.0,44
4,27.0,60
4,28.0,58
4,29.0,58
4,19.0,44
4,33.0,57
4,9.0,34
4,13.0,42
4,26.0,51
4,25.0,38
4,39.0,61
4,35.0,60
4,16.0,18
4,41.0,60
4,30.0,22
4,44.0,62
4,42.0,55
4,31.0,49
4,22.0,45
4,36.0,52
4,49.0,59
4,51.0,61
4,52.0,37
4,40.0,46
4,32.0,38
4,37.0,35
4,43.0,52
4,54.0,56
4,38.0,32
4,24.0,29
4,59.0,56
4,47.0,46
4,53.0,51
4,57.0,57
4,45.0,41
4,20.0,36
4,66.0,60
4,46.0,38
4,60.0,44
4,70.0,43
4,69.0,62
4,71.0,55
4,72.0,49
4,56.0,48
4,63.0,32
4,76.0,58
4,65.0,36
4,61.0,46
4,64.0,23
4,82.0,61
4,50.0,41
4,73.0,51
4,85.0,59
4,68.0,32
4,84.0,53
4,89.0,62
4,86.0,57
4,78.0,42
4,92.0,62
4,93.0,61
4,62.0,32
4,79.0,42
4,67.0,46
4,98.0,61
4,58.0,42
4,87.0,46
4,95.0,53
4,103.0,49
4,88.0,46
4,105.0,43
4,75.0,35
4,104.0,58
4,80.0,51
4,91.0,49
4,96.0,46
4,90.0,44
4,107.0,49
4,106.0,49
4,99.0,48
4,111.0,32
4,74.0,27
4,117.0,49
4,118.0,55
4,116.0,61
4,119.0,53
4,94.0,36
4,122.0,37
4,112.0,42
4,100.0,35
4,108.0,41
4,125.0,61
4,113.0,53
4,110.0,31
4,121.0,49
4,114.0,51
4,120.0,46
4,115.0,38
4,124.0,56
4,109.0,21
4,102.0,29
4,128.0,39
4,126.0,39
4,123.0,38
4,129.0,42
5,21.0,114
5,55.0,98
5,48.0,102
5,7.0,90
5,101.0,82
5,34.0,98
5,127.0,94
5,83.0,110
5,97.0,86
5,81.0,110
5,77.0,110
5,0.0,171
5,1.0,122
5,2.0,169
5,3.0,118
5,4.0,98
5,13.0,163
5,11.0,170
5,15.0,169
5,9.0,154
5,20.0,133
5,19.0,169
5,8.0,157
5,24.0,171
5,18.0,169
5,25.0,163
5,6.0,160
5,16.0,150
5,10.0,86
5,26.0,163
5,31.0,171
5,17.0,134
5,14.0,151
5,37.0,163
5,12.0,94
5,38.0,171
5,32.0,163
5,22.0,69
5,29.0,150
5,40.0,171
5,23.0,82
5,27.0,114
5,43.0,169
5,33.0,118
5,36.0,134
5,50.0,163
5,35.0,157
5,28.0,98
5,30.0,163
5,46.0,160
5,56.0,171
5,41.0,102
5,58.0,169
5,52.0,98
5,39.0,130
5,49.0,102
5,42.0,102
5,51.0,122
5,63.0,171
5,59.0,168
5,47.0,160
5,44.0,134
5,61.0,166
5,67.0,170
5,68.0,171
5,53.0,166
5,64.0,166
5,45.0,146
5,62.0,150
5,75.0,120
5,74.0,170
5,54.0,90
5,65.0,157
5,60.0,154
5,79.0,163
5,71.0,142
5,80.0,169
5,78.0,168
5,66.0,106
5,84.0,170
5,57.0,102
5,69.0,138
5,73.0,157
5,86.0,163
5,72.0,160
5,90.0,157
5,87.0,160
5,76.0,114
5,70.0,90
5,89.0,122
5,100.0,170
5,95.0,168
5,91.0,126
5,85.0,90
5,96.0,170
5,93.0,154
5,88.0,166
5,92.0,142
5,99.0,168
5,107.0,166
5,94.0,169
5,82.0,150
5,111.0,169
5,106.0,171
5,115.0,152
5,103.0,90
5,98.0,79
5,102.0,169
5,104.0,160
5,108.0,166
5,105.0,98
5,112.0,154
5,116.0,126
5,121.0,169
5,117.0,106
5,109.0,160
5,128.0,143
5,110.0,142
5,123.0,138
5,119.0,142
5,118.0,79
5,120.0,157
5,125.0,130
5,122.0,90
5,129.0,154
5,124.0,94
5,126.0,163
5,113.0,90
5,114.0,82
6,21.0,1273
6,55.0,1207
6,48.0,1227
6,7.0,1159
6,101.0,1105
6,34.0,1183
6,127.0,1183
6,83.0,1261
6,97.0,1133
6,81.0,1261
6,77.0,1261
6,0.0,1223
6,1.0,1184
6,2.0,1105
6,3.0,1133
6,4.0,987
6,5.0,1207
6,8.0,1280
6,13.0,1187
6,11.0,1286
6,14.0,1187
6,19.0,1286
6,9.0,1183
6,10.0,894
6,18.0,1139
6,16.0,801
6,12.0,956
6,15.0,1273
6,17.0,1246
6,23.0,862
6,29.0,1285
6,25.0,1246
6,27.0,1105
6,26.0,1003
6,32.0,1246
6,28.0,987
6,31.0,1268
6,35.0,1285
6,24.0,1105
6,20.0,1227
6,22.0,740
6,45.0,1079
6,43.0,1187
6,37.0,1207
6,47.0,1003
6,33.0,1159
6,40.0,1285
6,44.0,1246
6,36.0,1280
6,53.0,905
6,38.0,1159
6,30.0,925
6,39.0,1207
6,50.0,1273
6,60.0,905
6,56.0,1280
6,52.0,1017
6,46.0,1227
6,54.0,956
6,49.0,1047
6,42.0,1017
6,58.0,1281
6,59.0,1187
6,41.0,1017
6,51.0,1183
6,61.0,1286
6,72.0,905
6,63.0,1159
6,57.0,1017
6,73.0,1139
6,65.0,1227
6,62.0,1159
6,71.0,1249
6,66.0,1077
6,80.0,1187
6,64.0,956
6,70.0,956
6,67.0,1285
6,84.0,1139
6,87.0,1079
6,68.0,1159
6,86.0,1249
6,79.0,1281
6,90.0,1003
6,78.0,1281
6,69.0,1246
6,82.0,1286
6,74.0,1047
6,75.0,1207
6,95.0,1079
6,88.0,1139
6,93.0,1286
6,99.0,1003
6,89.0,1184
6,92.0,1273
6,85.0,925
6,107.0,905
6,96.0,1285
6,91.0,1286
6,76.0,1133
6,104.0,1268
6,112.0,1079
6,100.0,1207
6,108.0,1273
6,111.0,1159
6,103.0,925
6,105.0,987
6,106.0,1268
6,94.0,1227
6,120.0,1003
6,102.0,1105
6,98.0,862
6,115.0,1246
6,114.0,862
6,110.0,1133
6,119.0,1268
6,109.0,862
6,117.0,1077
6,129.0,1139
6,123.0,1139
6,113.0,925
6,121.0,1280
6,118.0,862
6,124.0,956
6,122.0,956
6,125.0,1227
6,128.0,1261
6,116.0,1183
6,126.0,1261
7,77.0,87
7,83.0,85
7,55.0,74
7,127.0,52
7,81.0,87
7,101.0,62
7,97.0,69
7,48.0,87
7,21.0,85
7,34.0,74
7,6.0,79
7,0.0,67
7,8.0,61
7,5.0,46
7,15.0,55
7,1.0,42
7,9.0,46
